Product Name,Price (MYR),Minimum Order Quantity (MOQ),Lead Time,Supplier Email,origin_country
Aura Pro Wireless Earbuds,RM89.21,100 units,14 days,sales@gmail.com,Malaysia
Lumix G3 Mechanical Keyboard,RM178.43,50 units,21 days,b2b@gmail.com,China
Titan 20k mAh Power Bank,RM74.94,200 units,10 days,orders@gmail.com,Nepal
SwiftTab 10-inch Tablet,RM455.98,25 units,30 days,global@gmail.com,Malaysia
NeoCam 4K Action Camera,RM229.97,40 units,18 days,contact@gmail.com,Philippines
PulseFit Smartwatch V4,RM126.88,150 units,12 days,info@gmail.com,Mongolia
HyperDrive 1TB External SSD,RM293.41,30 units,7 days,supply@gmail.com,Malaysia
NanoNode Microcontroller Kit,RM49.56,500 units,5 days,dev@gmail.com,Bangladesh
ClearVoice USB Microphone,RM114.99,60 units,14 days,wholesale@gmail.com,Myanmar
SafeGuard Smart Home Camera,RM138.78,100 units,20 days,security@gmail.com,Germany
GripMaster Gaming Mouse,RM77.32,80 units,10 days,gaming@gmail.com,Philippines
SolarCharge Portable Panel,RM166.53,50 units,22 days,exo@gmail.com,Kazakhstan
LinkUp WiFi 6 Mesh Router,RM257.73,40 units,18 days,networking@gmail.com,Malaysia
SoundBar Pro 2.1 System,RM436.15,20 units,28 days,audio@gmail.com,Vietnam
DuraLight LED Desk Lamp,RM55.51,200 units,12 days,lightning@gmail.com,Philippines
SwiftCharge GaN Wall Charger,RM38.86,300 units,8 days,salse@gmail.com,China
AeroDrone 1080p Quadcopter,RM535.28,10 units,21 days,drones@gmail.com,Philippines
FocusGlass VR Headset,RM789.30,5 units,35 days,vr_supply@gmail.com,Malaysia
KeyTrack Bluetooth Finder,RM17.84,1000 units,15 days,bulk@gmail.com,Malaysia
MagStream 3-in-1 Charger,RM107.06,150 units,14 days,support@gmail.com,Bangladesh
PureAir Mini Purifier,RM150.67,75 units,20 days,home@gmail.com,Myanmar
PixelPen Stylus (Gen 2),RM59.48,200 units,10 days,creaative@gmail.com,Malaysia
DataVault Encrypted USB (64GB),RM83.27,100 units,12 days,info@gmail.com,China
FlexiStand Laptop Riser,RM10.00,1 units,2 days,lek@gmail.com,Nepal
FlexiStand Laptop Riser,RM47.58,100 units,7 days,office@gmail.com,Malaysia
AquaPulse Electric Toothbrush,RM103.09,80 units,18 days,health@gmail.com,Philippines
FlexiStand Laptop Riser,RM47.58,50 units,7 days,lq77@gmail.com,Mongolia
BeamCast Mini Projector,RM285.48,30 units,25 days,media@gmail.com,Malaysia
Ridge Rugged Bluetooth Speaker,RM122.92,120 units,14 days,outdoor@gmail.com,Bangladesh
